SUBJECT,OBJECT
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://bg.dbpedia.org/resource/Робер_I
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://ca.dbpedia.org/resource/Robert_I_de_França
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://cs.dbpedia.org/resource/Robert_I._Francouzský
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://dbpedia.org/resource/Robert_I_of_France
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://de.dbpedia.org/resource/Robert_I._(Frankreich)
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://el.dbpedia.org/resource/Ροβέρτος_Α΄_της_Γαλλίας
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://eo.dbpedia.org/resource/Roberto_la_1-a_(Francio)
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://es.dbpedia.org/resource/Roberto_I_de_Francia
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://et.dbpedia.org/resource/Robert_I
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://fr.dbpedia.org/resource/Robert_Ier_de_France
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,"http://hr.dbpedia.org/resource/Robert_I.,_kralj_Francuske"
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://hu.dbpedia.org/resource/I._Róbert_nyugati_frank_király
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://id.dbpedia.org/resource/Robert_I_dari_Perancis
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://it.dbpedia.org/resource/Roberto_I_di_Francia
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://ja.dbpedia.org/resource/ロベール1世_(西フランク王)
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://ko.dbpedia.org/resource/로베르_1세_(서프랑크)
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://nl.dbpedia.org/resource/Robert_van_Bourgondië
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://pl.dbpedia.org/resource/Robert_I_(władca_Franków)
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://pt.dbpedia.org/resource/Roberto_I_de_França
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://ro.dbpedia.org/resource/Robert_I_al_Franței
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://ru.dbpedia.org/resource/Роберт_I_(король_Франции)
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://sk.dbpedia.org/resource/Róbert_I._(Francúzsko)
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://sr.dbpedia.org/resource/Робер_I_Француски
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://sv.dbpedia.org/resource/Robert_I_av_Frankrike
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://tr.dbpedia.org/resource/I._Robert_(Fransa)
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://uk.dbpedia.org/resource/Роберт_I_(король_Франції)
http://ar.dbpedia.org/resource/روبير_الأول_ملك_فرنسا,http://zh.dbpedia.org/resource/罗贝尔一世_(西法兰克)
http://bg.dbpedia.org/resource/%D0%A0%D0%BE%D0%B1%D0%B5%D1%80_I,http://bg.dbpedia.org/resource/Робер_I
http://bg.dbpedia.org/resource/Робер_I,http://br.dbpedia.org/resource/Roperzh_Iañ_(roue_ar_Franked)
http://bg.dbpedia.org/resource/Робер_I,"http://bs.dbpedia.org/resource/Robert_I,_kralj_Zapadne_Franačke"
http://bg.dbpedia.org/resource/Робер_I,http://ca.dbpedia.org/resource/Robert_I_de_França
http://bg.dbpedia.org/resource/Робер_I,http://cs.dbpedia.org/resource/Robert_I._Francouzský
http://bg.dbpedia.org/resource/Робер_I,http://dbpedia.org/resource/Robert_I_of_France
http://bg.dbpedia.org/resource/Робер_I,http://de.dbpedia.org/resource/Robert_I._(Frankreich)
http://bg.dbpedia.org/resource/Робер_I,http://el.dbpedia.org/resource/Ροβέρτος_Α'_της_Γαλλίας
http://bg.dbpedia.org/resource/Робер_I,http://el.dbpedia.org/resource/Ροβέρτος_Α΄_της_Γαλλίας
http://bg.dbpedia.org/resource/Робер_I,http://eo.dbpedia.org/resource/Roberto_la_1-a_(Francio)
