Entity	Annotation	Status	Provenance	link
http://bn.dbpedia.org/resource/%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%95_%E0%A6%A6%E0%A6%BF%E0%A6%AC%E0%A6%B8				=hyperlink("http://bn.dbpedia.org/resource/%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%95_%E0%A6%A6%E0%A6%BF%E0%A6%AC%E0%A6%B8")
http://cs.dbpedia.org/resource/Den_u%C4%8Ditel%C5%AF				=hyperlink("http://cs.dbpedia.org/resource/Den_u%C4%8Ditel%C5%AF")
http://cv.dbpedia.org/resource/%D0%92%C4%95%D1%80%D0%B5%D0%BD%D1%82%D0%B5%D0%BA%D0%B5%D0%BD_%D0%BA%D1%83%D0%BD%C4%95				=hyperlink("http://cv.dbpedia.org/resource/%D0%92%C4%95%D1%80%D0%B5%D0%BD%D1%82%D0%B5%D0%BA%D0%B5%D0%BD_%D0%BA%D1%83%D0%BD%C4%95")
http://cv.dbpedia.org/resource/%D0%92%C4%95%D1%80%D0%B5%D0%BD%D1%82%D3%B3%C3%A7%C4%95_%D0%BA%D1%83%D0%BD%C4%95				=hyperlink("http://cv.dbpedia.org/resource/%D0%92%C4%95%D1%80%D0%B5%D0%BD%D1%82%D3%B3%C3%A7%C4%95_%D0%BA%D1%83%D0%BD%C4%95")
http://cv.dbpedia.org/resource/Вĕрентӳçĕ_кунĕ				=hyperlink("http://cv.dbpedia.org/resource/Вĕрентӳçĕ_кунĕ")
http://da.dbpedia.org/resource/L%C3%A6rerdag				=hyperlink("http://da.dbpedia.org/resource/L%C3%A6rerdag")
http://dbpedia.org/resource/D%C3%ADa_del_Maestro				=hyperlink("http://dbpedia.org/resource/D%C3%ADa_del_Maestro")
http://dbpedia.org/resource/Día_del_Maestro				=hyperlink("http://dbpedia.org/resource/Día_del_Maestro")
http://rdf.freebase.com/ns/guid.9202a8c04000641f80000000002e8437				=hyperlink("http://rdf.freebase.com/ns/guid.9202a8c04000641f80000000002e8437")
http://dbpedia.org/resource/Dia_del_Maestro				=hyperlink("http://dbpedia.org/resource/Dia_del_Maestro")
http://dbpedia.org/resource/Hug-A-Teacher_Day				=hyperlink("http://dbpedia.org/resource/Hug-A-Teacher_Day")
http://dbpedia.org/resource/Teacher%27s_Day				=hyperlink("http://dbpedia.org/resource/Teacher%27s_Day")
http://dbpedia.org/resource/Teacher%27s_day				=hyperlink("http://dbpedia.org/resource/Teacher%27s_day")
http://dbpedia.org/resource/Teacher's_Day				=hyperlink("http://dbpedia.org/resource/Teacher's_Day")
http://dbpedia.org/resource/Teacher's_day				=hyperlink("http://dbpedia.org/resource/Teacher's_day")
http://dbpedia.org/resource/Teacher_Appreciation_Day				=hyperlink("http://dbpedia.org/resource/Teacher_Appreciation_Day")
http://dbpedia.org/resource/Teacher_Appreciation_Week				=hyperlink("http://dbpedia.org/resource/Teacher_Appreciation_Week")
http://dbpedia.org/resource/Teachers%27_Day				=hyperlink("http://dbpedia.org/resource/Teachers%27_Day")
http://dbpedia.org/resource/Teachers%E2%80%99_Day				=hyperlink("http://dbpedia.org/resource/Teachers%E2%80%99_Day")
http://dbpedia.org/resource/Teachers’_Day				=hyperlink("http://dbpedia.org/resource/Teachers’_Day")
http://he.dbpedia.org/resource/יום_המורה				=hyperlink("http://he.dbpedia.org/resource/יום_המורה")
http://mpii.de/yago/resource/Teachers'_Day				=hyperlink("http://mpii.de/yago/resource/Teachers'_Day")
http://pa.dbpedia.org/resource/ਅਧਿਆਪਕ_ਦਿਵਸ				=hyperlink("http://pa.dbpedia.org/resource/ਅਧਿਆਪਕ_ਦਿਵਸ")
http://sa.dbpedia.org/resource/शिक्षकदिनम्_(भारतम्)				=hyperlink("http://sa.dbpedia.org/resource/शिक्षकदिनम्_(भारतम्)")
http://si.dbpedia.org/resource/ගුරුවරුන්ගේ_දිනය				=hyperlink("http://si.dbpedia.org/resource/ගුරුවරුන්ගේ_දිනය")
http://wikidata.dbpedia.org/resource/Q188888				=hyperlink("http://wikidata.dbpedia.org/resource/Q188888")
http://wikidata.org/entity/Q188888				=hyperlink("http://wikidata.org/entity/Q188888")
http://yago-knowledge.org/resource/Teachers'_Day				=hyperlink("http://yago-knowledge.org/resource/Teachers'_Day")
http://dbpedia.org/resource/Teachers_day				=hyperlink("http://dbpedia.org/resource/Teachers_day")
http://es.dbpedia.org/resource/D%C3%ADa_del_maestro				=hyperlink("http://es.dbpedia.org/resource/D%C3%ADa_del_maestro")
http://et.dbpedia.org/resource/%C3%95petajate_p%C3%A4ev				=hyperlink("http://et.dbpedia.org/resource/%C3%95petajate_p%C3%A4ev")
http://fa.dbpedia.org/resource/%D8%B1%D9%88%D8%B2_%D9%85%D8%B9%D9%84%D9%85				=hyperlink("http://fa.dbpedia.org/resource/%D8%B1%D9%88%D8%B2_%D9%85%D8%B9%D9%84%D9%85")
http://fr.dbpedia.org/resource/F%C3%AAte_des_professeurs				=hyperlink("http://fr.dbpedia.org/resource/F%C3%AAte_des_professeurs")
http://gu.dbpedia.org/resource/%E0%AA%B6%E0%AA%BF%E0%AA%95%E0%AB%8D%E0%AA%B7%E0%AA%95_%E0%AA%A6%E0%AA%BF%E0%AA%A8				=hyperlink("http://gu.dbpedia.org/resource/%E0%AA%B6%E0%AA%BF%E0%AA%95%E0%AB%8D%E0%AA%B7%E0%AA%95_%E0%AA%A6%E0%AA%BF%E0%AA%A8")
http://he.dbpedia.org/resource/%D7%99%D7%95%D7%9D_%D7%94%D7%9E%D7%95%D7%A8%D7%99%D7%9D				=hyperlink("http://he.dbpedia.org/resource/%D7%99%D7%95%D7%9D_%D7%94%D7%9E%D7%95%D7%A8%D7%99%D7%9D")
http://hi.dbpedia.org/resource/%E0%A4%B6%E0%A4%BF%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%95_%E0%A4%A6%E0%A4%BF%E0%A4%B5%E0%A4%B8				=hyperlink("http://hi.dbpedia.org/resource/%E0%A4%B6%E0%A4%BF%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%95_%E0%A4%A6%E0%A4%BF%E0%A4%B5%E0%A4%B8")
http://hu.dbpedia.org/resource/Tan%C3%A1rok_napja				=hyperlink("http://hu.dbpedia.org/resource/Tan%C3%A1rok_napja")
http://ja.dbpedia.org/resource/%E6%95%99%E5%B8%AB%E3%81%AE%E6%97%A5				=hyperlink("http://ja.dbpedia.org/resource/%E6%95%99%E5%B8%AB%E3%81%AE%E6%97%A5")
http://ko.dbpedia.org/resource/%EA%B5%90%EC%82%AC%EC%9D%98_%EB%82%A0				=hyperlink("http://ko.dbpedia.org/resource/%EA%B5%90%EC%82%AC%EC%9D%98_%EB%82%A0")
http://ml.dbpedia.org/resource/%E0%B4%85%E0%B4%A6%E0%B5%8D%E0%B4%A7%E0%B5%8D%E0%B4%AF%E0%B4%BE%E0%B4%AA%E0%B4%95%E0%B4%A6%E0%B4%BF%E0%B4%A8%E0%B4%82				=hyperlink("http://ml.dbpedia.org/resource/%E0%B4%85%E0%B4%A6%E0%B5%8D%E0%B4%A7%E0%B5%8D%E0%B4%AF%E0%B4%BE%E0%B4%AA%E0%B4%95%E0%B4%A6%E0%B4%BF%E0%B4%A8%E0%B4%82")
http://ne.dbpedia.org/resource/%E0%A4%97%E0%A5%81%E0%A4%B0%E0%A5%82%E0%A4%AA%E0%A5%82%E0%A4%B0%E0%A5%8D%E0%A4%A3%E0%A4%BF%E0%A4%AE%E0%A4%BE				=hyperlink("http://ne.dbpedia.org/resource/%E0%A4%97%E0%A5%81%E0%A4%B0%E0%A5%82%E0%A4%AA%E0%A5%82%E0%A4%B0%E0%A5%8D%E0%A4%A3%E0%A4%BF%E0%A4%AE%E0%A4%BE")
http://nn.dbpedia.org/resource/L%C3%A6rardag				=hyperlink("http://nn.dbpedia.org/resource/L%C3%A6rardag")
http://no.dbpedia.org/resource/L%C3%A6rerdag				=hyperlink("http://no.dbpedia.org/resource/L%C3%A6rerdag")
http://pl.dbpedia.org/resource/Dzie%C5%84_Edukacji_Narodowej				=hyperlink("http://pl.dbpedia.org/resource/Dzie%C5%84_Edukacji_Narodowej")
http://ru.dbpedia.org/resource/%D0%94%D0%B5%D0%BD%D1%8C_%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8F				=hyperlink("http://ru.dbpedia.org/resource/%D0%94%D0%B5%D0%BD%D1%8C_%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8F")
http://sq.dbpedia.org/resource/Dita_e_m%C3%ABsuesit				=hyperlink("http://sq.dbpedia.org/resource/Dita_e_m%C3%ABsuesit")
http://ta.dbpedia.org/resource/%E0%AE%86%E0%AE%9A%E0%AE%BF%E0%AE%B0%E0%AE%BF%E0%AE%AF%E0%AE%B0%E0%AF%8D_%E0%AE%A8%E0%AE%BE%E0%AE%B3%E0%AF%8D				=hyperlink("http://ta.dbpedia.org/resource/%E0%AE%86%E0%AE%9A%E0%AE%BF%E0%AE%B0%E0%AE%BF%E0%AE%AF%E0%AE%B0%E0%AF%8D_%E0%AE%A8%E0%AE%BE%E0%AE%B3%E0%AF%8D")
http://te.dbpedia.org/resource/%E0%B0%89%E0%B0%AA%E0%B0%BE%E0%B0%A7%E0%B1%8D%E0%B0%AF%E0%B0%BE%E0%B0%AF%E0%B1%81%E0%B0%B2_%E0%B0%A6%E0%B0%BF%E0%B0%A8%E0%B1%8B%E0%B0%A4%E0%B1%8D%E0%B0%B8%E0%B0%B5%E0%B0%82				=hyperlink("http://te.dbpedia.org/resource/%E0%B0%89%E0%B0%AA%E0%B0%BE%E0%B0%A7%E0%B1%8D%E0%B0%AF%E0%B0%BE%E0%B0%AF%E0%B1%81%E0%B0%B2_%E0%B0%A6%E0%B0%BF%E0%B0%A8%E0%B1%8B%E0%B0%A4%E0%B1%8D%E0%B0%B8%E0%B0%B5%E0%B0%82")
http://th.dbpedia.org/resource/%E0%B8%A7%E0%B8%B1%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%B9				=hyperlink("http://th.dbpedia.org/resource/%E0%B8%A7%E0%B8%B1%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%B9")
http://tr.dbpedia.org/resource/%C3%96%C4%9Fretmenler_G%C3%BCn%C3%BC				=hyperlink("http://tr.dbpedia.org/resource/%C3%96%C4%9Fretmenler_G%C3%BCn%C3%BC")
http://tt.dbpedia.org/resource/%D0%A3%D0%BA%D1%8B%D1%82%D1%83%D1%87%D1%8B%D0%BB%D0%B0%D1%80_%D0%BA%D3%A9%D0%BD%D0%B5				=hyperlink("http://tt.dbpedia.org/resource/%D0%A3%D0%BA%D1%8B%D1%82%D1%83%D1%87%D1%8B%D0%BB%D0%B0%D1%80_%D0%BA%D3%A9%D0%BD%D0%B5")
http://uk.dbpedia.org/resource/%D0%94%D0%B5%D0%BD%D1%8C_%D0%BF%D1%80%D0%B0%D1%86%D1%96%D0%B2%D0%BD%D0%B8%D0%BA%D1%96%D0%B2_%D0%BE%D1%81%D0%B2%D1%96%D1%82%D0%B8				=hyperlink("http://uk.dbpedia.org/resource/%D0%94%D0%B5%D0%BD%D1%8C_%D0%BF%D1%80%D0%B0%D1%86%D1%96%D0%B2%D0%BD%D0%B8%D0%BA%D1%96%D0%B2_%D0%BE%D1%81%D0%B2%D1%96%D1%82%D0%B8")
http://vi.dbpedia.org/resource/Ng%C3%A0y_Nh%C3%A0_gi%C3%A1o				=hyperlink("http://vi.dbpedia.org/resource/Ng%C3%A0y_Nh%C3%A0_gi%C3%A1o")
http://zh.dbpedia.org/resource/%E6%95%99%E5%B8%88%E8%8A%82				=hyperlink("http://zh.dbpedia.org/resource/%E6%95%99%E5%B8%88%E8%8A%82")
