Entity	Annotation	Status	Provenance	link
http://af.dbpedia.org/resource/Ebbehout				=hyperlink("http://af.dbpedia.org/resource/Ebbehout")
http://ar.dbpedia.org/resource/أبنوس				=hyperlink("http://ar.dbpedia.org/resource/أبنوس")
http://bg.dbpedia.org/resource/Абанос				=hyperlink("http://bg.dbpedia.org/resource/Абанос")
http://bn.dbpedia.org/resource/আবলুস				=hyperlink("http://bn.dbpedia.org/resource/আবলুস")
http://ca.dbpedia.org/resource/Banús				=hyperlink("http://ca.dbpedia.org/resource/Banús")
http://cs.dbpedia.org/resource/Eben				=hyperlink("http://cs.dbpedia.org/resource/Eben")
http://dbpedia.org/resource/Ebony				=hyperlink("http://dbpedia.org/resource/Ebony")
http://de.dbpedia.org/resource/Ebenholz				=hyperlink("http://de.dbpedia.org/resource/Ebenholz")
http://el.dbpedia.org/resource/Έβενος				=hyperlink("http://el.dbpedia.org/resource/Έβενος")
http://eo.dbpedia.org/resource/Ebono				=hyperlink("http://eo.dbpedia.org/resource/Ebono")
http://es.dbpedia.org/resource/Ébano				=hyperlink("http://es.dbpedia.org/resource/Ébano")
http://eu.dbpedia.org/resource/Ebano				=hyperlink("http://eu.dbpedia.org/resource/Ebano")
http://fa.dbpedia.org/resource/آبنوس				=hyperlink("http://fa.dbpedia.org/resource/آبنوس")
http://fi.dbpedia.org/resource/Eebenpuu				=hyperlink("http://fi.dbpedia.org/resource/Eebenpuu")
http://fr.dbpedia.org/resource/Ébène				=hyperlink("http://fr.dbpedia.org/resource/Ébène")
http://he.dbpedia.org/resource/הובנה				=hyperlink("http://he.dbpedia.org/resource/הובנה")
http://hi.dbpedia.org/resource/आबनूस				=hyperlink("http://hi.dbpedia.org/resource/आबनूस")
http://hr.dbpedia.org/resource/Ebanovina				=hyperlink("http://hr.dbpedia.org/resource/Ebanovina")
http://ht.dbpedia.org/resource/Bwa_debèn				=hyperlink("http://ht.dbpedia.org/resource/Bwa_debèn")
http://hu.dbpedia.org/resource/Ébenfák				=hyperlink("http://hu.dbpedia.org/resource/Ébenfák")
http://io.dbpedia.org/resource/Ebeno				=hyperlink("http://io.dbpedia.org/resource/Ebeno")
http://it.dbpedia.org/resource/Ebano				=hyperlink("http://it.dbpedia.org/resource/Ebano")
http://ja.dbpedia.org/resource/コクタン				=hyperlink("http://ja.dbpedia.org/resource/コクタン")
http://ka.dbpedia.org/resource/აბანოზი				=hyperlink("http://ka.dbpedia.org/resource/აბანოზი")
http://ko.dbpedia.org/resource/흑단				=hyperlink("http://ko.dbpedia.org/resource/흑단")
http://mk.dbpedia.org/resource/Абонос				=hyperlink("http://mk.dbpedia.org/resource/Абонос")
http://ml.dbpedia.org/resource/കരിമരം				=hyperlink("http://ml.dbpedia.org/resource/കരിമരം")
http://nl.dbpedia.org/resource/Ebben				=hyperlink("http://nl.dbpedia.org/resource/Ebben")
http://nn.dbpedia.org/resource/Ibenholt				=hyperlink("http://nn.dbpedia.org/resource/Ibenholt")
http://no.dbpedia.org/resource/Ibenholt				=hyperlink("http://no.dbpedia.org/resource/Ibenholt")
http://pl.dbpedia.org/resource/Heban				=hyperlink("http://pl.dbpedia.org/resource/Heban")
http://pt.dbpedia.org/resource/Ébano				=hyperlink("http://pt.dbpedia.org/resource/Ébano")
http://ro.dbpedia.org/resource/Abanos				=hyperlink("http://ro.dbpedia.org/resource/Abanos")
http://ru.dbpedia.org/resource/Эбеновое_дерево				=hyperlink("http://ru.dbpedia.org/resource/Эбеновое_дерево")
http://sh.dbpedia.org/resource/Ebanovina				=hyperlink("http://sh.dbpedia.org/resource/Ebanovina")
http://sv.dbpedia.org/resource/Ebenholts				=hyperlink("http://sv.dbpedia.org/resource/Ebenholts")
http://sw.dbpedia.org/resource/Abunusi				=hyperlink("http://sw.dbpedia.org/resource/Abunusi")
http://ta.dbpedia.org/resource/கருங்காலி				=hyperlink("http://ta.dbpedia.org/resource/கருங்காலி")
http://th.dbpedia.org/resource/ตะโก				=hyperlink("http://th.dbpedia.org/resource/ตะโก")
http://tr.dbpedia.org/resource/Abanoz				=hyperlink("http://tr.dbpedia.org/resource/Abanoz")
http://uk.dbpedia.org/resource/Чорне_дерево				=hyperlink("http://uk.dbpedia.org/resource/Чорне_дерево")
http://www.wikidata.org/entity/Q156005				=hyperlink("http://www.wikidata.org/entity/Q156005")
http://af.dbpedia.org/resource/Ebbenhout				=hyperlink("http://af.dbpedia.org/resource/Ebbenhout")
http://ar.dbpedia.org/resource/%D8%A3%D8%A8%D9%86%D9%88%D8%B3				=hyperlink("http://ar.dbpedia.org/resource/%D8%A3%D8%A8%D9%86%D9%88%D8%B3")
http://rdf.freebase.com/ns/m.0194pb				=hyperlink("http://rdf.freebase.com/ns/m.0194pb")
